"id","candidato_id","sector","precision","viabilidad","coherencia","subtitulo","resumen"
"rs-011","cepeda","Tierras y Agro","Media-alta","Media","Alta","Profundización de la reforma agraria sin detalles ni ajustes necesarios","Su programa propone continuar y profundizar la reforma agraria de este gobierno repartiendo tierras fértiles hoy concentradas y subutilizadas, restituyendo las que fueron despojadas y acompañando la entrega de tierras con créditos, asistencia técnica, infraestructura y tecnología para lograr soberanía alimentaria. Plantea un programa nacional de bienes y servicios rurales que lleve agua potable, energía eléctrica y vías terciarias al campo, y una red de acopio, cuartos fríos y plantas de transformación administradas por organizaciones campesinas para que las ganancias de cultivar y comercializar los alimentos no se queden solo en las ciudades.
El eje de su propuesta es que los campesinos tengan más participación en el gobierno. Para eso, propone fortalecer el Sistema Nacional de Reforma Agraria. En este sistema están sentadas varias entidades y ministerios, y el candidato busca darles silla a asociaciones campesinas. Entre ellas, las que impulsan las zonas de reserva campesina, que buscan que los pequeños campesinos puedan hacer sus propios planes de desarrollo en esas zonas. Además, quiere impulsar una jurisdicción agraria que resuelva los conflictos de tierras. 
El programa de Cepeda hereda un desafío: promete profundizar una reforma agraria que hoy avanza más lento de lo anunciado. Según cifras del Ministerio de Agricultura, de las 3 millones de hectáreas que el gobierno Petro prometió incluir en el Fondo de Tierras para campesinos sin tierra, que es un punto del Acuerdo de Paz, logró adquirir 779.483. O sea, el 25% de la meta. De esas hectáreas, ha entregado 338.778 hectáreas y más de la mitad están en proceso de titulación. Además, su programa es ante todo narrativo y no aterriza en instrumentos verificables. Eso es un problema serio en un sector donde las brechas son cuantitativas. 
La entrega de tierras, por su parte, se ha chocado con cuellos de botella en la Agencia Nacional de Tierras, denuncias de compras de tierras con sobrecostos multimillonarios, beneficiarios exigiendo títulos y con problemas de coordinación con la Unidad de Restitución de Tierras, que fue creada para devolverles tierra a campesinos despojados de ellas por el conflicto. Para solventar estos obstáculos, Cepeda debe resolver los problemas que aún persisten. 
La reforma agraria de este gobierno, que Cepeda propone profundizar, tiene figuras que afectan la propiedad privada y la competitividad. Como el Decreto 033 de 2025 que mezcló las reglas para que el Estado compre tierras rurales y que hoy permite que la Agencia Nacional de Tierras le pida a un juez expropiar por vía judicial predios en municipios priorizados por la reforma si el dueño del predio no responde a la oferta del Estado en diez días. Es decir, por este decreto un propietario puede perder su tierra solo por quedarse callado: una clara vulneración a los derechos fundamentales al debido proceso y a la propiedad privada. 
Además, aunque la jurisdicción agraria fue creada por un acto legislativo en 2023, todavía falta aprobar una ley en el Congreso que defina las reglas sobre las competencias y facultades de los jueces agrarios. La Corte Constitucional ya le ordenó al Consejo Superior de la Judicatura poner en funcionamiento estos juzgados y tribunales agrarios a partir de 2027, pero mientras eso pasa, no se puede sustituir al juez que hoy resuelve los conflictos de tierras por una jurisdicción que todavía no está definida por la ley, ni por entidades administrativas.
Un desafío fundamental de la política que propone Cepeda es pasar de una dinámica de justicia histórica y de reparación a una que proponga soluciones a la despoblación, envejecimiento, falta de tecnología y de acceso a mercados globales en el campo colombiano."
"rs-012","espriella","Tierras y Agro","Media-baja","Baja","Media","Acelerar la titulación sin medidas claras en el cómo y fortalecer la propiedad privada con riesgos de conflictividad social ","El candidato quiere acabar la política agraria de este gobierno y parte del diagnóstico de que el principal freno al desarrollo rural es la falta de títulos de propiedad. Su propuesta central es apostarle a una titulación masiva para legalizar los predios rurales que hoy están en la informalidad y “volver propietario al campesino” con más seguridad usando a la Fuerza Pública en veredas y corregimientos. En el frente productivo, plantea transformar la agricultura de subsistencia en una industria rentable y de exportación. Propone delimitar la política de agricultura campesina y familiar de la política de la agroindustria y exportaciones, expandiendo la frontera productiva con 1,5 millones de hectáreas nuevas, especialmente en la altillanura. El candidato también habla de hacer una escuela de emprendedores rurales para formar a 100 mil jóvenes en prácticas modernas, con apoyos de crédito, asociatividad y tecnología. También propone bajar los precios de los fertilizantes e invertir en distritos de riego y vías terciarias para que lo producido en el campo pueda salir a tiempo a los mercados.
Aunque el problema de informalidad es real, avanzar en pocos años sobre más de la mitad de los predios informales exigiría duplicar la capacidad institucional de la Agencia Nacional de Tierras y acelerar un catastro multipropósito que, en ocho años, apenas ha cubierto una fracción del territorio. Sin un rediseño operativo serio, esa meta parece inviable. Además, plantear una legalización acelerada sin un diagnóstico detallado de cada predio puede chocar con garantías constitucionales de propiedad y convertirse en una medida difícil de sostener jurídicamente. Por otro lado, usar a la fuerza pública para proteger la propiedad privada, sin mediaciones previas, puede volverse una política criminal de persecución y represión que, aunque es legal si sigue el debido proceso y la proporcionalidad en el uso de la fuerza, puede aumentar la conflictividad social y la violencia, teniendo en cuenta la crisis de seguridad en los territorios. 
Su apuesta por intervenir los precios de fertilizantes es importante en un contexto global de guerras que los ha vuelto más costosos. Pero sin una estrategia clara de focalización y de producción nacional, puede parecerse a experiencias pasadas en las que los subsidios terminaron capturados por intermediarios sin aliviar de fondo los costos del pequeño productor.
Por último, su propuesta de expandir la frontera productiva en más de un millón de hectáreas en la altillanura, plantea riesgos no resueltos en materia de restitución de tierras y se puede traslapar con resguardos y comunidades étnicas."
"rs-013","valencia","Tierras y Agro","Media","Media-baja","Media-baja","Formalización con riesgos de traslape y aumento de hectáreas productivas con una frontera agrícola ya tensionada","La candidata propone crear líneas de crédito “sin trámites”, entregar tierra con proyectos productivos ya avanzados y con acceso a maquinaria y tecnología. También se pone la meta de formalizar 1 millón de hectareas, otro millón de nuevas hectáreas para cultivo y agroindustria ubicadas en zonas francas y otro millón de hectáreas restauradas. Dice que quiere actualizar el 60% del territorio en gestión predial antes de hacer el catastro multipropósito, que es el gran directorio de tierras del país para saber quiénes son sus dueños, cuántos viven ahí, y cuánto pagan por la tierra, entre otros datos. La idea es combinar una propuesta de seguridad jurídica sobre la tierra con paquetes productivos completos que conviertan al campesino en productor con ingresos y capacidad de inversión.
Su idea de entregar crédito “sin trámites” responde a una demanda real de financiamiento para pequeños productores, pero reproduce un modelo que ha mostrado que atar el crédito a ciertos proveedores genera dependencia y que los comercializadores de los productos se queden con la mayor parte de las ganancias, cuando ya existen líneas de crédito en el Banco Agrario y Finagro que simplifican trámites sin ese amarre. Además, la propuesta de sumar un millón de hectáreas nuevas para cultivo y agroindustria en zonas francas ignora que la frontera agrícola ya está tensionada entre suelos aptos, ganadería extensiva, áreas protegidas, resguardos y baldíos en conflicto. Al no hacer una distinción entre una reconversión ganadera y una expansión sobre bosques, puede chocar con los compromisos adquiridos de cero deforestación y repetir experiencias de zonas francas agroindustriales y Zonas de Interés de Desarrollo Rural, Económico y Social, ZIDRES, donde se concentró la propiedad y la inclusión de pequeños productores fue escasa. Finalmente, el compromiso de tener un 60% del territorio actualizado en gestión predial antes de que el catastro multipropósito lo haga puede crear un instrumento paralelo al propio catastro multipropósito que duplicaría esfuerzos, descoordinaría la información territorial y podría ir en contra del objetivo de que la información sobre la tierra y sus dueños esté unificada."
"rs-014","fajardo","Tierras y Agro","Media","Media","Alta","Formalización y transformación agroalimentaria con apuestas difíciles de cumplir y el tiempo en contra","Sergio Fajardo propone que cada proceso de formalización o adjudicación de tierras venga acompañado de un proyecto productivo financiado con asistencia técnica permanente y un acceso a créditos, infraestructura y mercados. Quiere un catastro multipropósito con trámites más simples y tiempos más cortos para dar seguridad jurídica a millones de predios. También le apuesta a una Política de Desarrollo Productivo Agropecuario para pasar de un agro extensivo y poco productivo a uno tecnificado y competitivo, con investigación, formación técnica y crédito de mediano plazo. Se pone la meta de que la mitad de los pequeños y medianos productores hagan parte de procesos de transformación agroalimentaria, es decir, que reciban asistencia técnica, estén formalmente asociados, entre otras. El candidato quiere crear un Programa Nacional de Exportación Agroindustrial para diversificar la canasta de lo que exportamos, subir el precio de los productos agropecuarios que producimos y posicionar al campo colombiano como un proveedor competitivo y confiable en mercados internacionales.  
La meta de llevar a la mitad de pequeños y medianos productores a procesos de transformación agroalimentaria en cuatro años es muy ambiciosa teniendo en cuenta que hoy apenas 12% recibe asistencia técnica y menos del 4% está formalmente asociado. Sin un rediseño operativo de las entidades clave para cumplir su meta y un presupuesto explícito, Fajardo corre el riesgo de quedarse en el discurso. La propuesta del Programa Nacional de Exportación Agroindustrial tiene un vacío importante: no tiene una estrategia explícita de seguridad alimentaria en un país que importa la mayor parte de sus granos básicos, como maíz, soya o trigo, y donde la seguridad alimentaria golpea sobre todo a los hogares rurales. El énfasis exportador puede profundizar la paradoja de una región que exporta alimentos mientras millones de personas siguen con hambre."
"rs-015","lopez","Tierras y Agro","Media-baja","Media-baja","Media-alta","Formalización y catastro con dudas sobre origen de los predios y priorización regional","Claudia López propone formalizar masivamente predios y actualizar el catastro multipropósito, sobre todo en los Llanos y la Orinoquía, para garantizar seguridad jurídica. También le apuesta a modelos asociativos productivos donde campesinos y dueños de la tierra se conviertan en socios de proyectos agroindustriales y participen directamente en las utilidades, en lugar de ser sólo proveedores de materia prima. López parte de la premisa de que el campo se gobierna mal porque las decisiones se toman lejos, y por eso propone fortalecer, desde la institucionalidad, las capacidades técnicas y fiscales de los municipios rurales para que puedan liderar su propio desarrollo, con recursos para bienes públicos como vías terciarias, sistemas de riego e infraestructura logística. 
Formalizar masivamente predios en la Orinoquía trae riesgos teniendo en cuenta que en esa región las grandes extensiones de tierra tienen origen irregular porque eran baldíos que están por encima del mínimo de tierra que un campesino necesita para cultivar. Formalizarlas sin revisar ese pasado terminaría legalizando concentraciones de tierras que pueden resultar cuestionadas ante los jueces. La propuesta de que los campesinos sean “socios” de proyectos agroindustriales en los Llanos y la Orinoquía está alineada con el consenso que hay sobre la importancia de las alianzas productivas. Pero, para que haya una verdadera sociedad, los contratos tienen que incluir que los campesinos y los dueños de la tierra tengan acciones y voz en los proyectos agroindustriales. El énfasis en estas regiones deja sin una explicación explícita qué quiere hacer en otras regiones agropecuarias clave, como la Andina, el Caribe o el Pacífico."
"rs-016","cepeda","Energía","Media-baja","Baja","Media-baja","Transición energética sin garantías para tiempos de sequía","Iván Cepeda propone profundizar la transición energética, pero sin dejar de lado la soberanía, es decir, sin que tengamos que comprarles a otros países la luz y el gas. Quiere acelerar el desarrollo de la energía solar y eólica, y cumplir la meta de bajar para 2030 un 51% las emisiones de gases de efecto invernadero. Dice que llevará energía eléctrica a todos los municipios del país, priorizando fuentes alternativas. Además, quiere cerrarles definitivamente la puerta al fracking y al carbón y seguir en la misma línea restrictiva para nuevos contratos de exploración y producción de hidrocarburos.
El candidato no tiene una propuesta clara para enfrentar la crisis del sector. No explica cómo su apuesta por una transición energética acelerada garantizará que tengamos energía, que la industria tenga suficiente gas y que haya un respaldo con otras fuentes, como el carbón, para tiempos de sequías. 
Tampoco deja claro si, además de prohibir el fracking, les está cerrando también la puerta a nuevos contratos de exploración de petróleo y gas, como hizo el Gobierno Petro. Esta decisión amenaza nuestros derechos colectivos porque ha llevado al país a un riesgo de desabastecimiento en el que podemos terminar dependiendo de comprarles más petróleo y gas a otros países, y pagando más caro servicios públicos esenciales. Frente a la crisis energética actual, el país necesita poner en marcha nuevos proyectos que cumplan altos estándares tecnológicos y sean responsables social y ambientalmente. Por último, en su idea de llevar energía a todos los municipios del país no está claro cuál sería el rol de las empresas del sector, qué tipo de redes se van a construir y cómo va a financiar su plan energético."
"rs-017","espriella","Energía","Media","Media-baja","Media","Seguridad energética sin transición clara a energías limpias","De la Espriella quiere reactivar con fuerza la explotación de hidrocarburos y recursos minerales en el país. Eso incluye firmar nuevos contratos de exploración y explotación de petróleo y gas para asegurar la autosuficiencia a largo plazo, fortalecer Ecopetrol y hacer fracking con una regulación técnica y estricta. Propone un plan de choque que acelere la explotación de gas, garantice a las empresas e inversionistas del sector que las reglas del juego no cambien e incluya energías renovables, como la solar y la eólica, siempre que no pongan en riesgo la estabilidad del sistema eléctrico. También quiere revisar cómo se calculan las tarifas de luz en el Caribe.
Aunque su plan es claro para garantizar la seguridad energética con la explotación de hidrocarburos y minería, atraer inversión no es sencillo ni rápido. Menos cuando este sector se está reactivando en Venezuela, un país que le gana en reservas y en el que Estados Unidos abrió las puertas de par en par para la inversión. Además, De la Espriella no dice cuál sería la hoja de ruta concreta para la transición energética, que también es necesaria, ni para que las energías renovables crezcan sin sacrificar la estabilidad del sistema. 
Por último, en su propuesta de bajar las tarifas en la costa Caribe no explica quién pagará la cuenta, qué parte del cobro refleja realmente las pérdidas de energía, qué parte responde al costo de modernizar las redes ni cuánto corresponde al pago de deudas acumuladas del sistema. Sin estas respuestas, la promesa de reducción de tarifas corre el riesgo de crear expectativas difíciles de cumplir."
"rs-018","valencia","Energía","Media","Media-baja","Media","Reactivación intensiva de explotación de hidrocarburos","Paloma Valencia propone reactivar con fuerza la explotación de carbón, petróleo y gas e impulsar al fracking. Su plan incluye llevar la producción de petróleo a un millón de barriles diarios y fortalecer el gobierno corporativo de Ecopetrol. Además, propone un plan de choque para acelerar los proyectos de generación de energía, y también impulsar nuevos proyectos de energías alternativas como la eólica, la solar y la biomasa, a través del “licenciamiento exprés”, un mecanismo de decisión rápida que les haga seguimiento a las licencias ambientales, los predios que se necesitan para cada proyecto y las consultas previas, sobre las que dice que no deben ser un veto, sino un mecanismo para consultar a las comunidades étnicas sobre los impactos y los beneficios, con lo que las volvería socias de los proyectos. En minería, Valencia propone que el Banco de la República compre oro a pequeños mineros que se organicen en empresas productoras con la ayuda de empresas públicas y privadas. 
Impulsar nuevos proyectos de generación de energía con una fórmula de “licenciamiento exprés” para avanzar en el trámite tiene riesgos. La consulta previa es un derecho fundamental de las comunidades étnicas reconocido por la Constitución, y la candidata no aclara cómo evitará que se creen más tensiones con las comunidades si no hay mecanismos de participación reales. 
Un gran hueco de su programa es que no dice nada sobre la crisis de energía en el Caribe, que ya lleva tres décadas, donde la gente es la que paga la peor factura por los intentos fallidos de estabilizar el servicio. La candidata solo ha dicho que se pagarán todas las deudas con las empresas sin explicar cómo ni de dónde sacará la plata.
Finalmente, en minería, su idea de que el Banco de la República compre oro a pequeños productores requeriría cambios legales de fondo y convertiría al banco central en un actor directo de la cadena minera, algo que hoy no está previsto y que genera varias dudas técnicas y jurídicas."
"rs-019","fajardo","Energía","Media-alta","Media","Media-alta","Nuevas fuentes de energía con el tiempo en contra","Fajardo propone encontrar nuevas fuentes de gas natural en el mar y retomar la exploración en tierra, construir una nueva regasificadora en La Guajira y hacer pilotos de fracking con evaluaciones técnicas y ambientales estrictas. También propone mejorar la gobernabilidad en Ecopetrol y que la empresa busque nuevos proyectos rentables para recuperar su valor y sus reservas. Propone producir más energía al año, la mayoría con fuentes como la eólica y la solar, y destrabar proyectos retrasados, sobre todo en La Guajira. También quiere simplificar el paso a paso regulatorio y ambiental para poner en marcha proyectos estratégicos que tengan a las comunidades como socias y beneficiarias. Además, propone incentivar la competencia para bajar las tarifas de luz que pagan las personas entre el 10% y 15% para 2030. Para el Caribe, propone reemplazar al operador Air-e por uno que tenga músculo financiero e invertir en infraestructura eléctrica para que se pierda menos luz, y así bajar a la mitad el tiempo sin energía en las casas de esta región. 
Encontrar nuevas fuentes de gas no es una solución rápida para un país en riesgo de desabastecimiento. Desde el momento en que se empieza a explorar hasta cuando se ponen los gasoductos pueden pasar de siete a once años. Lo mismo pasa con su propuesta de bajar las tarifas de energía entre el 10 y el 15%, para fomentar la competencia. Es una solución más a largo plazo que no resuelve la urgencia de la crisis energética. Implica el desarrollo de nuevos proyectos de generación de energía que tendrían que comenzar a tiempo, en un contexto con varios proyectos represados.  
Por último, en su solución para el Caribe no es claro si propone un modelo de concesión, en el que el Estado deja que una empresa privada financie, construya y mantenga la infraestructura, para asumir la operación de Air-E. Tampoco identifica quién pagará la deuda de ese operador."
"rs-020","lopez","Energía","Media-baja","Media-baja","Media","Más exploración y producción de hidrocarburos, pero sin detalles","López reconoce la necesidad de volver a la exploración de petróleo y gas para evitar la crisis de desabastecimiento. Propone hacer pilotos de fracking con base en evidencia científica y licenciamiento ambiental riguroso, con el objetivo de asegurar precios bajos y una estabilidad en el suministro de gas natural. Al mismo tiempo, quiere ordenar el proceso de transición energética y aliviar el peso de las tarifas de luz. 
Para resolver la crisis energética en el Caribe, propone usar las regalías, que es la plata que pagan al Estado las empresas que explotan recursos naturales, para modernizar la infraestructura eléctrica —postes, transformadores y cables del sistema— para que la gente en la región no pague facturas astronómicas. Además, quiere promover un modelo de alianzas entre las comunidades, las empresas y el Estado para que las comunidades también sean socias de los grandes proyectos de energía y reciban ganancias directas.
El programa de López sobre exploración y producción de hidrocarburos no tiene los detalles suficientes para evaluar qué tan viable es. Su propuesta para enfrentar la crisis de la luz en el Caribe no es lo suficientemente detallada. Usar la plata de las regalías para pagar la modernización de postes, transformadores y cableado puede alivianar la carga que pagan las personas en el Caribe, pero no resuelve otros grandes problemas como las deudas acumuladas. Hacerlo, además, requeriría aclarar quién ejecutaría esa plata y definir un proceso de negociación con las estructuras políticas regionales que permita ajustar el Sistema General de Regalías, pues el presidente no puede decidir cómo se usan esos recursos."
"rs-021","cepeda","Salud","Media-baja","Media-baja","Alta","Misma receta de Petro para una salud en cuidados intensivos","Iván Cepeda parte de la base de que el Estado debe asumir un papel protagónico tanto en la financiación como en la organización del sistema de salud. El candidato no presenta una propuesta detallada, sino que habla de un plan de choque que incluye profundizar el giro que ha impulsado este Gobierno para acabar con la intermediación de las EPS, pagarles directamente a los hospitales, centralizar la compra de medicamentos priorizando la industria farmacéutica nacional para garantizar soberanía sanitaria y transitar a un modelo preventivo y territorial, que acompañe a las familias con equipos de atención primaria apoyados en tecnología y saberes ancestrales. 
La propuesta de Cepeda propone la misma receta que el actual Gobierno inventó y que ha profundizado la crisis en el sector. Es una receta que, en la práctica, pasa a un sistema en el que las personas están adscritas a centros de atención primaria en salud (CAP), que están cerca de su casa y son el primer punto de atención, aunque siguen afiliadas a una EPS. Eso diluye las responsabilidades porque los pacientes pueden no saber contra quién poner una tutela cuando no les dan el tratamiento que necesitan. Además, el modelo que el Gobierno impuso por decreto, saltándose al Congreso, les quita a los ciudadanos la libertad de elegir en qué EPS están, porque el Gobierno puede decidir a dónde los traslada. Esto puede implicar que se frenen tratamientos y se impongan más barreras administrativas a pacientes que necesitan atención especializada. Cepeda parte de la misma premisa de Petro, la de adjudicarles la crisis a las EPS que, aunque con fallas, durante años tuvieron que manejar el riesgo en salud y garantizar cada vez más atención sin recibir la plata suficiente por persona. 
Su plan de choque no explica cómo se garantizará la gestión integral del riesgo en salud, es decir, quién se hará cargo de organizar la atención, prever las enfermedades de la población y manejar de forma responsable los recursos. Tampoco deja claro de dónde saldrán los recursos para tapar el hueco que abrió este Gobierno cuando desvió alrededor de 4,2 billones de pesos anuales, que se iban a las EPS para aseguramiento, a financiar equipos básicos de salud y atención primaria sin rendición de cuentas."
"rs-022","espriella","Salud","Media-baja","Baja ","Media-baja","Privatización reforzada sin énfasis en lo público","Abelardo de la Espriella propone un plan de choque de noventa días para oxigenar la salud. Ese plan comienza con una inyección inicial de diez billones de pesos para pagar tratamientos represados y saldar deudas con hospitales y clínicas. Más allá del choque financiero, defiende abiertamente el papel de los privados: quiere fortalecer a las EPS que funcionan bien, sancionar o liquidar a las que han incumplido, y revertir los cambios normativos recientes para volver al modelo anterior.
La gran pregunta sobre su propuesta sigue siendo cómo y de dónde saldrán los diez billones de pesos que promete inyectar en tan poco tiempo en un país con una situación fiscal tan difícil. Liquidar la deuda total del sistema, estimada entre treinta y cincuenta billones, no parece viable con la plata que tiene el Estado hoy. Incluso si lograra mover una parte de la plata para pagar a EPS y hospitales, el efecto sería probablemente temporal, como pasó con el Acuerdo de Punto Final durante el gobierno de Iván Duque, que permitió pagarles a las EPS y hospitales con recursos de la nación y de entidades territoriales, pero no fue suficiente para sanear la deuda.
Al mismo tiempo, su propuesta no contempla convocar a todos los actores que tienen un papel en el sector para que se coordinen. Su propuesta de volver al modelo de salud anterior tampoco resuelve cómo lidiar con un contexto que ya cambió. Hoy las EPS están menos dispuestas a asumir riesgos de plata, las intervenidas tienen deudas enormes, y no hay una hoja de ruta clara para rescatarlas ni para renegociar las reglas del juego. Además, la propuesta no tiene un mecanismo transparente ni técnico para evaluar cuáles EPS son salvables y cuáles tocará liquidar o sancionar. 
Por otro lado, un “plan de choque” que no replantee de fondo cómo se calcula la plata que les gira el gobierno a las EPS por cada afiliado, de manera transparente y concertada con todos los actores, termina apoyándose en la misma arquitectura que ha llevado a una desfinanciación crónica del sistema."
"rs-023","valencia","Salud","Media","Media-baja","Media","Tecnocracia de emergencia con plata incierta","Paloma Valencia propone un mando fuerte desde la presidencia que vuelva al sistema mixto entre públicos y privados, para coordinar la recuperación a través de un Puesto de Mando Unificado en salud. También propone inyectar nueve billones de pesos al sistema para estabilizarlo. Su idea es resolver rápido los cuellos de botella que más siente la gente: destrabar las citas y procedimientos represados y la entrega de medicamentos. Para lograrlo, habla de centralizar la negociación de medicamentos prioritarios, para que el Estado logre que haya mejores precios y garantice la entrega. También incluye un componente de saneamiento de la deuda con EPS y hospitales a través de figuras como la titularización, que permite cubrir obligaciones acumuladas con la emisión de bonos respaldados por rentas futuras, y ajustar a partir de 2027 el valor que el Estado les gira a las EPS por persona, para así cerrar la brecha entre lo que cuesta realmente la atención y lo que reconoce el sistema. Además, propone ampliar y fortalecer los hospitales públicos y de alta complejidad en departamentos y distritos.
La propuesta de Valencia no termina de responder preguntas clave: ¿Cuál es la visión de largo plazo para el sistema? ¿Se hará una nueva reforma estructural? ¿Cómo se reconstruirá la confianza entre actores públicos y privados? Tampoco es claro de dónde saldrán los nueve billones de pesos que promete inyectar en un país con una situación fiscal tan difícil. El plan de resolver millones de atenciones represadas genera dudas sobre su operación: no está claro si el gobierno asumirá directamente la operación, si lo hará a través de operadores logísticos o si las EPS serán las encargadas de ejecutar. En el frente financiero, la titularización de deudas puede ser una herramienta útil, pero no el plan explica con qué respaldo se emitirían esos títulos, a qué plazos ni cómo se asegurará que la deuda sea realmente transparente en un sistema en el que hoy nadie tiene una idea única de a cuánto asciende ni de quién debe qué. 
Su propuesta de ampliar y fortalecer los hospitales públicos y de alta complejidad en departamentos y distritos no detalla si el país tiene la capacidad técnica o el talento humano para que esa expansión se traduzca en una mejor atención. Además, la propuesta de Valencia no tiene en cuenta que el problema con los medicamentos no es solo de plata, sino también de descoordinación entre los ministerios de Salud y Hacienda, el INVIMA y otras entidades, lo que lleva al desabastecimiento, a retrasos en los pagos y a más tutelas para acceder a medicamentos esenciales."
"rs-024","fajardo","Salud","Media-Alta","Media","Media-Alta","Reforma incremental basada en riesgos","Sergio Fajardo propone tres ejes estratégicos en su programa de salud. Primero, ordenar y estabilizar el sistema recalculando, a través de una autoridad independiente, el pago que reciben las EPS por persona y creando un impuesto a los vapeadores para invertir más plata en el sector. Segundo, hacer que la gente en regiones más apartadas reciba mejor atención con un modelo preventivo que combine EPS territoriales, medicina familiar y comunitaria, prevención de enfermedades crónicas y el refuerzo de servicios de salud mental. Tercero, quiere modernizar el sistema llevando telesalud a zonas apartadas, pagándole mejor y a tiempo a la gente que trabaja en salud y creando un sistema de información unificado que garantice, entre otras, que la plata se use de manera más eficiente. Esto incluye auditorías para las EPS e incluso crear una Agencia Nacional Anticorrupción en Salud. 
El programa de Fajardo deja preguntas abiertas, en especial sobre cómo se implementarán varias de sus propuestas. En la práctica, territorializar las EPS y construir redes integradas exige cambios profundos en la operación diaria, así como renegociar contratos y un esfuerzo grande de coordinación entre distintos niveles de gobierno. De igual forma, el fortalecimiento del personal de salud, con más residencias y mejores salarios, depende de recursos frescos y de acuerdos con universidades y hospitales universitarios, y el plan no termina de aclarar de dónde saldrá esa plata adicional de manera sostenible."
"rs-025","lopez","Salud","Media","Media","Media-baja","Sistema mixto con dudas sobre la plata","Claudia López propone un sistema mixto e integral de salud que combine entidades públicas y privadas. Uno de sus pilares es volver a un plan de beneficios explícito, con tablas de precios unificadas por el servicio, la región y el tipo de población, de manera que cada colombiano sepa qué cubre el sistema según su lugar de residencia. Dice que creará un fondo público para pagarles a los trabajadores de la salud y volver a atender a la gente en lugares donde el servicio hoy está paralizado por las deudas. López propone también articular el sistema de salud con un sistema de cuidado que alivie la carga que tienen las mujeres y además les reconozca su trabajo, y un sistema de información unificado y transparente que reduzca los trámites y las autorizaciones innecesarias. Además, propone hacer un gran estudio para saber cuánto cuesta realmente la salud en Colombia y cómo se está gastando la plata.
Su propuesta de hacer un plan de beneficios explícito con tablas de precios unificadas por servicio abre una duda jurídica difícil, porque la Corte podría verlo como un retroceso frente al modelo actual en el que, en teoría, todo está cubierto salvo lo excluido. Además, no explica cómo creará un sistema de información robusto antes de establecer las tablas de precios. No explica con qué plata se financiaría ni bajo qué condiciones operaría el fondo público de rescate, que busca ser un colchón para evitar quiebras en cadena y garantizar el pago al personal de salud. Tampoco explica de dónde saldrá la plata ni cuáles instituciones harán parte del Sistema Nacional de Cuidado."
