"id","candidato_id","tema","subtema","titulo","descripcion","fuente","semaforo","semaforo_burbuja","alerta_explicacion","fecha_actualizacion","visible","","","","","","","","","","","","","",""
"p011","espriella","Seguridad","Economías ilegales","Destrucción de cultivos ilícitos","Destruir las 330.000 hectáreas de coca y valerse de todas las herramientas que nos permite la ley y la tecnología con la fumigación aérea, la erradicación manual, la persecución a los capitales de los narcos, la extinción de dominio express, la sustitución y la extradición.","https://defensoresdelapatria.com/como-le-devolvera-la-seguridad-a-colombia-abelardo-de-la-espriella/","amarillo","","","2026-04-29","si","","","","","","","","","","","","","",""
"p012","espriella","Seguridad","Paz","Cero negociaciones con criminales","Política de sometimiento de criminales a la justicia o la neutralización por parte de la fuerza pública.","https://www.youtube.com/watch?v=1VOOAuDGBB0","amarillo","","","2026-04-29","si","","","","","","","","","","","","","",""
"p013","espriella","Seguridad","Fuerza Pública","Defensa jurídica","Ser el ""primer defensor"" de policías y soldados, dándoles garantías jurídicas para que actúen con contundencia sin temor a represalias legales.","","","","","2026-04-29","no","","","","","","","","","","","","","",""
"p014","espriella","Seguridad","Fuerza Pública","Inversión y moral","Recuperar la moral combativa de las tropas, desfinanciada o desmotivada —según su visión— por gobiernos anteriores.","https://www.instagram.com/reels/DWc3A5NiOL2/","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p015","espriella","Seguridad","Cárceles","Construcción de megacárceles","Propone la construcción de 7 a 10 megacárceles ubicadas en zonas remotas del país (""en la mitad de la nada"") para aislar a los criminales de alta peligrosidad y reducir el hacinamiento.","https://www.infobae.com/colombia/2026/03/26/de-la-espriella-propone-diez-mega-carceles-concesionadas-y-eliminar-el-inpec-para-enfrentar-la-crisis-carcelaria-en-colombia-asi-se-van-a-financiar/","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p016","valencia","Seguridad","Fuerza Pública","Modernización y robustecimiento de la capacidad de las Fuerzas Armadas","Aumentar el gasto en seguridad y defensa en cerca de $20 billones durante el cuatrienio, con el objetivo de alcanzar niveles de inversión en nuestras fuerzas y capacidades cercanas al 4 % del PIB.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","La Fundación ha presentado acciones populares por la defensa de la seguridad pública y la paz solicitando entre otros, la coordinación interinstitucional y la presencia de la Fuerza Pública en los departamentos de Antioquia, Arauca, Bolívar, Casanare, Cauca, Chocó, Guaviare, Huila, Norte de Santander, Santander y Valle del Cauca. [Ver acciones populares](https://drive.google.com/drive/folders/12SspLQc2gNj1KLnceaFrLtK3wLioKwp2?usp=drive_link)","2026-04-29","si","","","","","","","","","","","","","",""
"p017","valencia","Seguridad","Fuerza Pública","Inversiones en tecnología","Enfocar las inversiones para asegurar que el sector defensa dé un salto tecnológico que optimice la presencia territorial, la movilidad de las tropas y la vigilancia aérea y marítima, mediante el uso de drones de última generación y la ciberinteligencia para la lucha frontal contra el crimen.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p018","valencia","Seguridad","Fuerza Pública","Plan 30-30","Incorporar 30 mil nuevos militares y 30 mil nuevos policías a nuestras fuerzas, logrando consolidar un pie de fuerza robusto y profesional de cerca de 530 mil hombres.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p019","valencia","Seguridad","Economías ilegales","Captura a extorsionistas","Acción envolvente de la Fuerza Pública para capturar a los extorsionistas.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p020","valencia","Seguridad","Política de drogas","Parques y entornos escolares libres de drogas","Parques y entornos escolares seguros y libres de drogas que protejan a la niñez.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p021","valencia","Seguridad","Control territorial","Militarización de ciertas zonas","Militarización estratégica inmediata en vías y regiones que tengan afectación de movilidad y zonas de riesgo de secuestro.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","amarillo","","","2026-04-29","si","","","","","","","","","","","","","",""
"p022","valencia","Seguridad","Economías ilegales","Asfixia financiera y extinción de dominio exprés","Asfixia financiera a los ilegales y extinción de dominio exprés. Convertiremos los bienes ilícitos en recursos para el Estado y los programas sociales.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p023","valencia","Seguridad","Fuerza Pública","Inteligencia estratégica y cooperación internacional","Se reconstruirán y fortalecerán las relaciones estratégicas en materia de inteligencia y desarrollo de capacidades con apoyo internacional.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p024","valencia","Seguridad","Política de drogas","Sustitución de cultivos forzosa y generosa","En las zonas donde hay cultivos ilícitos industriales, reactivaremos la fumigación sin afectar la salud ni los ecosistemas. Se implementará una política antidrogas eficaz en incautación y control de precursores químicos. El campesino deberá acabar los cultivos ilícitos y lo apoyaremos con cultivos lícitos; además, será socio de empresas que los transformen.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","amarillo","","","2026-04-29","si","","","","","","","","","","","","","",""
"p025","valencia","Seguridad","Política de drogas","Sustitución de cultivos ilícitos por campesinos","El campesino deberá acabar los cultivos ilícitos y lo apoyaremos con cultivos lícitos; además, será socio de empresas que los transformen.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","no","","","","","","","","","","","","","",""
"p026","fajardo","Seguridad","Economías ilegales","Atacar las rentas criminales","Recuperar en los primeros 100 días la inteligencia estratégica y el trabajo conjunto entre la Fiscalía General de la Nación, la Unidad de Información y Análisis Financiero (UIAF), las Fuerzas Militares y la Policía Nacional para atacar las finanzas del crimen organizado. Se priorizará el desmantelamiento de redes de lavado de activos, narcotráfico, minería ilegal y otras economías ilícitas que financian a los grupos armados.","https://drive.google.com/file/d/1b0JOU1qalqmih9YdYbuWIDWQEAAvYWn7/view","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p027","fajardo","Seguridad","Fuerza Pública","Más policía en las calles","Aumentar en 40.000 el número de policías profesionales durante el cuatrienio y fortaleceremos el modelo de vigilancia comunitaria con tecnología para la prevención y persecución del delito, priorizando las zonas con mayores niveles de hurto, extorsión y violencia urbana.","https://drive.google.com/file/d/1b0JOU1qalqmih9YdYbuWIDWQEAAvYWn7/view","","","La Fundación ha presentado acciones populares por la defensa de la seguridad pública y la paz solicitando entre otros, la coordinación interinstitucional y la presencia de la Fuerza Pública en los departamentos de Antioquia, Arauca, Bolívar, Casanare, Cauca, Chocó, Guaviare, Huila, Norte de Santander, Santander y Valle del Cauca. [Ver acciones populares](https://drive.google.com/drive/folders/12SspLQc2gNj1KLnceaFrLtK3wLioKwp2?usp=drive_link)","2026-04-29","si","","","","","","","","","","","","","",""
"p028","fajardo","Seguridad","Economías ilegales","Plan Nacional contra la extorsión y el secuestro","Duplicar los grupos Gaula en todo el territorio nacional, priorizando las regiones con mayor incidencia de extorsión y secuestro. Se incorporarán herramientas tecnológicas de investigación, inteligencia y análisis de datos para desarticular redes criminales.","https://drive.google.com/file/d/1b0JOU1qalqmih9YdYbuWIDWQEAAvYWn7/view","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p029","fajardo","Seguridad","Cárceles","Reforma y control del sistema carcelario","Intervenir las principales cárceles desde donde se coordinan delitos como la extorsión. Impulsar una reforma estructural del sistema penitenciario para reducir la corrupción, mejorar el control interno y cumplir la ley. Se construirán cinco nuevas cárceles para reducir el hacinamiento y liberar a más de 3.000 policías que hoy custodian personas detenidas en estaciones y unidades judiciales, para que vuelvan a tareas de seguridad ciudadana.","https://drive.google.com/file/d/1b0JOU1qalqmih9YdYbuWIDWQEAAvYWn7/view","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p030","fajardo","Seguridad","Economías ilegales","Protección de niños, niñas y jóvenes frente al crimen","En coordinación con alcaldes y gobernadores impulsaremos una estrategia integral para prevenir el reclutamiento criminal. Se fortalecerán programas que articulen educación, cultura, deporte, empleo juvenil y apoyo psicosocial, creando Entornos Protectores en familia, escuela y comunidad que alejen a los jóvenes de la violencia y amplíen sus oportunidades de vida.","https://drive.google.com/file/d/1b0JOU1qalqmih9YdYbuWIDWQEAAvYWn7/view","","","La Fundación presentó acción popular por la defensa de los niños, niñas y adolescentes ante el reclutamiento forzado por parte de grupos armados al margen de la ley. [Ver acción popular](https://drive.google.com/drive/folders/1JQgeIj56TYXRkbQNWn_pmuLQh6HNaeqQ?usp=drive_link)","2026-04-29","si","","","","","","","","","","","","","",""
"p031","fajardo","Seguridad","Control territorial","Planes de desarrollo integral de seguridad y bienestar territorial","Recuperar el control territorial por las instituciones estatales de seguridad y justicia; desarrollo integral del territorio con proyectos en infraestructura, servicios públicos, salud, educación, comunicaciones y emprendimientos locales; participación activa de las comunidades a través de juntas, organizaciones étnicas, iglesias y demás entidades ciudadanas para el diseño, ejecución y veeduría de los proyectos; coordinación de estos planes por equipos interinstitucionales liderados por gerentes regionales designados por la presidencia, quienes reportarán mensualmente los avances.","https://drive.google.com/file/d/1b0JOU1qalqmih9YdYbuWIDWQEAAvYWn7/view","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p032","lopez","Seguridad","Fuerza Pública","Fortalecer el Ministerio de Defensa y Soberanía Nacional","Ampliar el pie de fuerza de las Fuerzas Militares y de Policía, así como sus capacidades operativas, de inteligencia, disuasivas, de combate, con adecuada tecnología, formación y entrenamiento. Fortalecer las capacidades de desarrollo industrial y tecnológico de las fuerzas militares, así como la cooperación internacional que tiene Colombia a nivel bilateral y con organismos multilaterales como la OTAN y la Organización del Tratado de Cooperación Amazónica (OTCA), entre otros, para perseguir y lograr el sometimiento del crimen organizado transnacional y sus rentas criminales, proteger nuestra biodiversidad y garantizar nuestra soberanía.","https://claudia-lopez.com/wp-content/uploads/2026/04/Programa-Gobierno-Claudia-Lopez-Leonardo-Huerta.pdf","","","La Fundación ha presentado acciones populares por la defensa de la seguridad pública y la paz solicitando entre otros, la coordinación interinstitucional y la presencia de la Fuerza Pública en los departamentos de Antioquia, Arauca, Bolívar, Casanare, Cauca, Chocó, Guaviare, Huila, Norte de Santander, Santander y Valle del Cauca. [Ver acciones populares](https://drive.google.com/drive/folders/12SspLQc2gNj1KLnceaFrLtK3wLioKwp2?usp=drive_link)","2026-04-29","si","","","","","","","","","","","","","",""
"p033","lopez","Seguridad","Violencias basadas en género","Reducir las violencias basadas en género","La impunidad en violencias basadas en género es inaceptable. Fortaleceremos la capacidad de investigación y sanción de la justicia ordinaria para que los feminicidios, la violencia intrafamiliar y los crímenes de odio contra la población LGBTIQ+ tengan castigos rápidos y ejemplares.","https://claudia-lopez.com/wp-content/uploads/2026/04/Programa-Gobierno-Claudia-Lopez-Leonardo-Huerta.pdf","","","","2026-04-29","no","","","","","","","","","","","","","",""
"p034","lopez","Seguridad","Cárceles","Reforma penitenciaria","Transformar el INPEC en una gendarmería carcelaria y crear cárceles de máxima seguridad para aislar a las mafias, evitando que sigan delinquiendo desde los centros de reclusión.","https://claudia-lopez.com/wp-content/uploads/2026/04/Programa-Gobierno-Claudia-Lopez-Leonardo-Huerta.pdf","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p035","lopez","Seguridad","Fuerza Pública","Recuperación del pie de fuerza","Recuperar el número de uniformados (señalando una pérdida de 75.000 soldados en los últimos 15 años).","https://claudia-lopez.com/wp-content/uploads/2026/04/Programa-Gobierno-Claudia-Lopez-Leonardo-Huerta.pdf","","","","2026-04-29","no","","","","","","","","","","","","","",""
"p036","lopez","Seguridad","Fuerza Pública","Tecnología e inteligencia","Invertir en modernización tecnológica y desarrollo industrial para las fuerzas militares.","https://claudia-lopez.com/wp-content/uploads/2026/04/Programa-Gobierno-Claudia-Lopez-Leonardo-Huerta.pdf","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p037","lopez","Seguridad","Control territorial","Soberanía en fronteras","Invertir en modernización tecnológica y desarrollo industrial para las fuerzas militares.","https://claudia-lopez.com/wp-content/uploads/2026/04/Programa-Gobierno-Claudia-Lopez-Leonardo-Huerta.pdf","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p038","lopez","Seguridad","Control territorial","Descentralización","Empoderar a los alcaldes y gobernadores, dándoles autonomía económica y fiscal para que lideren la seguridad en sus propias regiones.","https://claudia-lopez.com/wp-content/uploads/2026/04/Programa-Gobierno-Claudia-Lopez-Leonardo-Huerta.pdf","","","","2026-05-19","no","","","","","","","","","","","","","",""
"p039","lopez","Seguridad","Economías ilegales","Sustitución de economías ilegales","Especialmente en el Pacífico y suroccidente, propone planes de choque con inversión en agua, saneamiento y vías para reemplazar las rentas del narcotráfico.","https://claudia-lopez.com/wp-content/uploads/2026/04/Programa-Gobierno-Claudia-Lopez-Leonardo-Huerta.pdf","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p040","cepeda","Salud","","Hacer una reforma a la salud de carácter democrático","Continuar la idea de reformar la salud para acabar con la intermediación financiera de las EPS y transicionar a un sistema centrado en la prevención y la atención primaria. Menciona “una reforma a la salud que deje de convertir la atención médica de las personas en un negocio como la convirtió Álvaro Uribe Vélez con la Ley 100” (p.224)","https://www.movimientopactohistorico.co/docs/programa-gobierno-2026-2030.pdf","amarillo","","La Fundación ha presentado acciones de nulidad en contra de resoluciones y decretos que modifican el SGSS, la gestión de las EPS e implementan un nuevo modelo de salud; acción popular para requerir la protección de los derechos colectivos a la salubridad pública y al acceso al servicio público de salud, a efectos de que se dicten medidas que atiendan la situación de escasez de medicamentos, especialmente en lo relacionado con las enfermedades graves; acción de nulidad contra la resolución que reglamenta los requisitos de operación y financieros de los Gestores Farmacéuticos; dos acciones de nulidad en contra de las resoluciones que fijaron la UPC para los años 2025 y 2026 [Ver acciones](https://drive.google.com/drive/folders/1Clx6XZ3nyfsI4KbOFKdvX8LRqvkE6ImB?usp=drive_link)
","2026-04-29","si","","","","","","","","","","","","","",""
"p041","espriella","Salud","Crisis del sistema","90 días para oxigenar","Destinar 10 billones de pesos iniciales para pagar tratamientos represados y deudas urgentes, Priorizar el pago a médicos y personal hospitalario y convocar un gran acuerdo nacional con prestadores, usuarios y el Estado para liquidar la deuda total del sistema.","https://defensoresdelapatria.com/ni-una-muerte-mas-el-plan-de-choque-de-abelardo-de-la-espriella-para-rescatar-la-salud-en-90-dias/","","","La Fundación ha presentado acciones de nulidad en contra de resoluciones y decretos que modifican el SGSS, la gestión de las EPS e implementan un nuevo modelo de salud. La Fundación presentó acción de cumplimiento para exigir que se elaboren, aprueben y publiquen oportunamente los estados financieros de la Nueva EPS, conforme a la normativa vigente y a las directrices de la Superintendencia Nacional de Salud. [Ver acciones](https://drive.google.com/drive/folders/19pquKjwWIzk9plz0f_9xIhfqq7nA6znt?usp=drive_link)","2026-04-29","si","","","","","","","","","","","","","",""
"p042","espriella","Salud","EPS","Garantías a la eficiencia","Fortalecer y proteger a las EPS que funcionan bien.","https://defensoresdelapatria.com/ni-una-muerte-mas-el-plan-de-choque-de-abelardo-de-la-espriella-para-rescatar-la-salud-en-90-dias/","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p043","espriella","Salud","EPS","Depuración de EPS ineficientes","Liquidar o sancionar severamente a las EPS que no cumplen con el servicio.","https://defensoresdelapatria.com/ni-una-muerte-mas-el-plan-de-choque-de-abelardo-de-la-espriella-para-rescatar-la-salud-en-90-dias/","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p044","espriella","Salud","EPS","Retorno al modelo anterior","Retrotraer daños causados por decretos recientes para volver a un sistema operativo que luego pueda mejorarse.","https://defensoresdelapatria.com/ni-una-muerte-mas-el-plan-de-choque-de-abelardo-de-la-espriella-para-rescatar-la-salud-en-90-dias/","","","La Fundación presentó acción popular para requerir la protección de los derechos colectivos a la salubridad pública y al acceso al servicio público de salud, a efectos de que se dicten medidas que atiendan la situación de escasez de medicamentos, especialmente en lo relacionado con las enfermedades graves. La Fundación presentó acción de nulidad contra la resolución que reglamenta los requisitos de operación y financieros de los Gestores Farmacéuticos. [Ver acciones](https://drive.google.com/drive/folders/1K2x76nv6MnZAyjkRMoUpc-hgmZ2UEbgN?usp=drive_link)","2026-04-29","si","","","","","","","","","","","","","",""
"p045","espriella","Salud","Prevención","Política de alimentación y deporte","Implementar políticas de Estado estrictas en nutrición infantil y deporte obligatorio para que los jóvenes no sean una ""carga financiera"" para el sistema en el futuro.","https://defensoresdelapatria.com/politica-publica-para-la-alimentacion-el-deporte-y-accidentalidad/","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p046","espriella","Salud","Prevención","Reducción de accidentalidad en moto","Crear ""motorrutas"" (vías exclusivas para motos) y un seguro obligatorio más económico para el 80% de los motociclistas, con el fin de reducir los traumas por accidentes que hoy colapsan las urgencias.","https://defensoresdelapatria.com/politica-publica-para-la-alimentacion-el-deporte-y-accidentalidad/","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p047","espriella","Salud","Administración y prestación del servicio de salud","Administración más eficiente","Propone una administración basada en resultados, eficiencia en el gasto y una lucha frontal contra la corrupción en el manejo de los recursos públicos de salud.","https://defensoresdelapatria.com/wp-content/uploads/2026/04/PROPUESTAS-DEL-TIGRE.pdf","amarillo","","","2026-04-29","no","","","","","","","","","","","","","",""
"p048","valencia","Salud","Crisis del sistema","Coordinación para atender la crisis","Tener un Puesto de Mando Unificado (PMU) 24/7 en Presidencia, con participación de todas las entidades del sistema, incluyendo a alcaldías y gobernaciones.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p049","valencia","Salud","Crisis del sistema","Resolver atrasos","Resolver 10 millones de atenciones represadas en medicamentos, citas y procedimientos en los primeros 100 días de gobierno.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p050","valencia","Salud","Crisis del sistema","Escasez de medicamentos","Que ningún paciente escuche “no hay” medicamentos; haremos compras centralizadas transitorias para medicamentos prioritarios.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","La Fundación presentó acción popular para requerir la protección de los derechos colectivos a la salubridad pública y al acceso al servicio público de salud, a efectos de que se dicten medidas que atiendan la situación de escasez de medicamentos, especialmente en lo relacionado con las enfermedades graves; presentó acción de nulidad contra la resolución que reglamenta los requisitos de operación y financieros de los Gestores Farmacéuticos. [Ver acciones](https://drive.google.com/drive/folders/1EoL_pZUVAyXIjO5HzSChTCb4CvXzd-Qu?usp=drive_link)","2026-04-29","si","","","","","","","","","","","","","",""
"p051","valencia","Salud","Crisis del sistema","Pago de la deuda","Pago de la deuda del Estado a prestadores vía titularización, con la condición de que se pongan al día en tratamientos represados.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p052","valencia","Salud","Crisis del sistema","Ajuste de la UPC"," Ajuste de la Unidad por Capitación (UPC) para 2027, según las necesidades reales de cada paciente, con énfasis en personas con discapacidades y que, además, premie los resultados en salud.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","La Fundación ha presentado dos acciones de nulidad en contra de las resoluciones que fijaron la UPC para los años 2025 y 2026. [Ver acciones](https://drive.google.com/drive/folders/1Pyw1xNGHqFCRZZAx98e5E3KKpS70I3XY?usp=drive_link)","2026-04-29","si","","","","","","","","","","","","","",""
"p053","valencia","Salud","Administración y prestación del servicio de salud","Hospitales padrinos","El especialista llega al campo, no al revés. Ampliaremos este programa para cubrir los 32 departamentos y los 8 distritos, transfiriendo capacidades de centros de alta complejidad que atienden pacientes rurales. Generaremos 100.000 atenciones en zonas rurales por medio de hospitales padrinos, telemedicina y con participación de las comunidades.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p054","valencia","Salud","Financiación del sistema","Inyección de 9 billones de pesos","3 billones de pesos para garantizar el suministro oportuno de medicamentos a quienes los necesitan, priorizando zonas de difícil acceso y poblaciones vulnerables. Se hará de la mano de operadores farmacéuticos experimentados. b) 6 billones de pesos para el pago de deudas acumuladas por falta de actualización a clínicas, hospitales y EPS, estabilizando el sistema y garantizando que millones de personas recuperen acceso efectivo a los servicios de salud sin interrupciones.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p055","valencia","Salud","Administración y prestación del servicio de salud","Sistema mixto y solidario","Recuperaremos el sistema mixto y solidario de salud para que entidades públicas y privadas puedan participar en el mejoramiento de la calidad y el servicio a los pacientes.","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","si","","","","","","","","","","","","","",""
"p056","valencia","Salud","Trabajadores de la salud","Mejoramiento de condiciones laborales","Mejores condiciones laborales para médicos y enfermeras: pago a tiempo y mejores salarios. ","https://drive.google.com/file/d/1J6cmhAJmdwlsq8Qz5WJPOUN6zwymEyZZ/view?usp=drive_link","","","","2026-04-29","si","","","","","","","","","","","","","",""
